@relation 'baseball_trim-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R9,44-weka.filters.unsupervised.attribute.Remove-R16,30-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-V-R13,18,19,22,29,30,31,42,43,44,last'

@attribute AOBP numeric
@attribute HRBI numeric
@attribute HBB numeric
@attribute HGO numeric
@attribute HER numeric
@attribute HPBB numeric
@attribute HPHBP numeric
@attribute HE numeric
@attribute HSB numeric
@attribute HCS numeric
@attribute Winner {Away,Home,Draw}

@data
-0.203947,1.478428,1.009869,-0.702853,0.631732,1.068125,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,0.893566,0.097576,-0.702853,0.068996,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.016274,1.466016,-0.702853,-1.337842,1.068125,-0.677762,-0.764255,0.439617,3.387414,Home
-0.203947,0.601136,-0.814718,-0.298308,-0.493739,-1.163604,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,-1.153448,-1.270865,-0.298308,1.194467,0.175433,1.886139,-0.764255,-0.688864,-0.500337,Away
-0.203947,-1.153448,-1.270865,0.510782,-0.775107,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.308705,-0.358571,0.915327,-1.337842,0.621779,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,0.016274,1.922163,-1.107397,-0.775107,-1.163604,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,-1.153448,-0.814718,-0.298308,-0.775107,-0.717258,-0.677762,-0.764255,-0.688864,1.443539,Away
-0.203947,1.185997,0.553723,0.915327,0.068996,0.175433,0.604189,-0.764255,2.696578,-0.500337,Home
-0.203947,0.308705,-0.358571,0.510782,-1.056475,-1.163604,-0.677762,-0.764255,1.568098,-0.500337,Home
-0.203947,0.016274,0.553723,0.915327,-1.056475,-0.717258,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,-0.568587,0.097576,0.915327,0.068996,-0.270912,-0.677762,0.307566,0.439617,-0.500337,Away
-0.203947,0.308705,1.009869,-1.107397,-0.775107,-1.163604,-0.677762,-0.764255,-0.688864,3.387414,Home
-0.203947,0.308705,2.834456,0.106237,0.068996,1.51447,-0.677762,1.379386,1.568098,-0.500337,Draw
-0.203947,-0.861018,-0.814718,-0.702853,-0.775107,-1.163604,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,-0.861018,-0.358571,0.106237,0.913099,0.621779,-0.677762,0.307566,-0.688864,1.443539,Away
-0.203947,2.35572,1.466016,0.106237,0.068996,0.175433,1.886139,-0.764255,0.439617,-0.500337,Home
4.894718,0.308705,1.466016,-1.511942,-0.212371,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.568587,0.097576,0.510782,0.068996,-0.717258,-0.677762,-0.764255,-0.688864,3.387414,Away
-0.203947,0.601136,-0.814718,1.319871,0.913099,-0.270912,-0.677762,-0.764255,1.568098,-0.500337,Away
